STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,NA,11015504291063,Golden Age Mine Heliport,K2460,-115.812056,44.002671
16,NA,11015504291057,Harrington Arprt,K2451,-116.004391,43.71987
16,NA,11015504291025,Treasure Gulch Arprt,K2451,-115.939891,43.944097
16,NA,11015504291268,Upper Loon Creek US Forest Service Arprt,K2451,-114.823529,44.592109
16,NA,11015504291238,Cahc Emergency Heliport,K2460,-114.224508,44.51145
16,00394837,1102653695240,Northgate Shopping Ctr,C3081,-116.280399,43.667943
16,NA,11015504291148,Preston Arprt,K2451,-111.911263,42.106339
16,NA,11015504291205,Linda's Roost Arprt,K2451,-113.645968,43.953786
16,NA,11015504291254,Copper Basin Arprt,K2451,-113.831527,43.801971
16,NA,11015504291199,Star 'S' Ranch Arprt,K2451,-114.04238,43.98129
16,NA,11015504291189,Flying Joseph Ranch Arprt,K2451,-113.771863,44.44232
16,NA,11015504291183,Stanley Arprt,K2451,-114.934527,44.208554
16,NA,11015504291525,Chamberlain US Forest Service Arprt,K2451,-115.195504,45.378509
16,NA,11015504291127,Tuka Arprt,K2451,-116.135557,48.104931
16,NA,11015504291125,Riverlake Arprt,K2451,-116.164177,48.125468
16,NA,11015504291123,Cx Ranch Arprt,K2451,-116.196401,48.137412
16,NA,11015504291121,Cx Ranch Number 2 Arprt,K2451,-116.181121,48.141022
16,NA,11015504291119,Delta Shores Arprt,K2451,-116.213168,48.144708
16,NA,11015504291115,Priest Lake US Forest Service Arprt,K2451,-116.958583,48.573999
16,NA,11015504291111,Phillabaum Heliport,K2460,-116.871128,48.631737
16,NA,11015504291103,Valenov Ranch Arprt,K2451,-117.013928,48.296006
16,NA,11015504291099,Fox Creek Arprt,K2451,-116.827657,48.329481
16,NA,11015504291077,Bird Number 2 Arprt,K2451,-116.388075,48.230468
16,NA,11015504291071,Olmstead Sky Ranch Arprt,K2451,-116.552807,48.350189
16,NA,11015504291065,Rapoport Ranch Arprt,K2451,-116.466154,48.249645
16,NA,11015504291058,Seven Shamrock Arprt,K2451,-116.402335,48.36332
16,NA,11015504291050,Spear Valley Arprt,K2451,-116.483696,48.380486
16,NA,11015504291042,Treeport Arprt,K2451,-116.791422,47.977391
16,NA,11015504291034,Beaux Ranch Fld,K2451,-116.725307,48.167397
16,NA,11015504291026,Timber Basin Airpark Incorporated,K2451,-116.438094,48.223408
16,00396806,1102653706851,Little Rock,C3081,-116.693763,43.916835
16,00396134,1102653624953,Black Mesa,C3022,-115.204233,42.907955
16,NA,11015504291067,Peaceful Cove Arprt,K2451,-116.201341,43.680431
16,NA,11015504291062,Boise Plaza Heliport,K2460,-116.205951,43.653221
16,NA,11015504291055,Nampa Valley Heliport,K2460,-116.276785,43.590998
16,NA,11015504291073,St Alphonsus Heliport,K2460,-116.264286,43.614332
16,NA,11015504291049,Young Heliport,K2460,-116.389015,43.716552
16,NA,11015504291040,Larkin Arprt,K2451,-116.357732,43.462096
16,NA,11015504291024,Black's Airfield,K2451,-116.325141,43.470814
16,NA,11015504291003,Boise Air Terminal/gowen Fld,K2451,-116.222861,43.56436
16,NA,11015504291129,Granite Arprt,K2451,-116.681699,47.984057
16,00395369,1102653679610,Fairwood Shopping Ctr,C3081,-116.28262,43.618776
16,00391224,1102653653000,Spring Hl,C3022,-115.065408,46.853251
16,00398167,1102653652987,Spring Hl,C3022,-113.745027,44.270753
16,00394963,1102653680286,Fish Creek Guard Sta,C3081,-116.079308,45.869054
16,00381796,1102653680372,Five Is,C3081,-115.261793,46.372138
16,00381929,1102653680870,Forest Service Sta,C3081,-115.199835,45.376022
